X,mean,BNP,RMDCC,HGSADC,RTS,CDRW,GEN+AF8-ELIT,BNP+AF8-F,RMDCC+AF8-F,HGSADC+AF8-F,RTS+AF8-F,CDRW+AF8-F,GEN+AF8-ELIT+AF8-F
1,+ACQ-0+AFwAJQAk-,11.815556,11.871111,4.84963,10.60963,0.319259,0.062222,20.264626,20.267429,20.270068,20.28666,20.303354,20.297426
2,+ACQ-5+AFwAJQAk-,11.442963,11.805926,4.374074,9.542963,0.316296,0,20.264626,20.264626,20.271125,20.271125,20.303354,20.297426
3,+ACQ-10+AFwAJQAk-,10.676296,11.608148,4.179259,8.960741,0.313333,0,20.264626,20.264626,20.271125,20.271125,20.303354,20.297426
4,+ACQ-15+AFwAJQAk-,10.305185,11.428889,4.135556,8.461481,0.323704,0,20.250925,20.25079,20.255577,20.264626,20.303354,20.297426
5,+ACQ-20+AFwAJQAk-,9.642963,10.947407,4.038519,8.045926,0.314074,0,20.256019,20.26358,20.254041,20.264626,20.303354,20.297426
6,+ACQ-25+AFwAJQAk-,8.838519,10.625926,4.032593,7.614074,0.331852,0,20.264626,20.264626,20.254885,20.264626,20.303354,20.297426
7,+ACQ-30+AFwAJQAk-,8.397037,10.1,3.988148,7.474815,0.322963,0,20.236572,20.264626,20.253736,20.264626,20.303354,20.297426
8,+ACQ-35+AFwAJQAk-,8.057037,9.821481,4.002222,7.288889,0.328889,0,20.25092,20.264626,20.259094,20.264626,20.303354,20.297426
9,+ACQ-40+AFwAJQAk-,7.566667,9.547407,3.905185,6.968148,0.322963,0,20.246808,20.263766,20.253828,20.264626,20.303354,20.297426
10,+ACQ-45+AFwAJQAk-,7.397778,9.174815,3.922222,6.723704,0.317778,0,20.264626,20.262705,20.256465,20.264626,20.303354,20.297426
11,+ACQ-50+AFwAJQAk-,7.087407,8.68963,3.844444,6.614074,0.320741,0,20.251073,20.264626,20.240137,20.264626,20.303354,20.297426
12,+ACQ-55+AFwAJQAk-,6.562963,8.611111,3.894074,6.30963,0.317778,0,20.225947,20.259499,20.233223,20.264626,20.303354,20.297426
13,+ACQ-60+AFwAJQAk-,6.252593,7.874815,3.985185,6.236296,0.322963,0,20.257207,20.253614,20.256618,20.264626,20.303354,20.297426
14,+ACQ-65+AFwAJQAk-,5.880741,7.746667,3.936296,6.079259,0.302963,0,20.251446,20.24096,20.257009,20.264626,20.296855,20.297426
15,+ACQ-70+AFwAJQAk-,5.660741,7.400741,3.981481,5.887407,0.305926,0,20.261124,20.224685,20.257775,20.264626,20.296855,20.297426
16,+ACQ-75+AFwAJQAk-,5.051111,7.138519,3.968148,5.733333,0.296296,0,20.264626,20.263477,20.249505,20.264626,20.296855,20.297426
17,+ACQ-80+AFwAJQAk-,5.006667,6.693333,4.013333,5.693333,0.307407,0,20.264626,20.245698,20.249947,20.264626,20.296855,20.297426
18,+ACQ-85+AFwAJQAk-,4.578519,6.468889,3.86,5.541481,0.291852,0,20.264626,20.241525,20.255775,20.264626,20.296855,20.297426
19,+ACQ-90+AFwAJQAk-,4.53037,6.384444,3.861481,5.513333,0.308889,0,20.264626,20.249883,20.225022,20.264626,20.296855,20.297426
20,+ACQ-100+AFwAJQAk-,4.704444,6.382222,3.968148,5.394815,0.305926,0,20.264626,20.247995,20.259084,20.264626,20.296855,20.297426
